task_id,department,corridor_id,defect_severity,days_overdue,estimated_hours,asset_age_years,actual_risk_score
165,Traction,COR_01,B,12,1,11,37.59
166,Engineering,COR_03,B,28,1,2,63.99
167,Traction,COR_01,C,18,5,16,37.21
168,Engineering,COR_05,A,26,4,9,87.73
169,Engineering,COR_05,B,5,7,15,21.89
170,Traction,COR_02,C,15,1,12,35.33
171,Traction,COR_04,B,1,1,1,22.02
172,Traction,COR_01,B,7,4,13,38.8
173,S&T,COR_01,A,16,3,14,69.16
174,Traction,COR_03,C,22,1,25,47.16
175,S&T,COR_05,A,1,2,25,41.84
176,Engineering,COR_01,C,9,4,8,27.86
177,S&T,COR_05,C,27,1,8,48.23
178,Traction,COR_01,B,15,5,27,47.52
179,Engineering,COR_02,C,5,6,12,27.36
180,Engineering,COR_04,A,27,2,1,90.36
181,Engineering,COR_01,B,1,6,11,25.23
182,S&T,COR_05,C,1,6,8,5.51
183,Traction,COR_02,C,25,1,10,37.86
184,Engineering,COR_01,C,12,2,19,29.14
185,Engineering,COR_03,C,23,2,11,41.75
186,Engineering,COR_04,A,14,3,7,59.28
187,S&T,COR_01,A,27,6,11,88.81
188,S&T,COR_02,A,1,2,17,45.41
189,Traction,COR_03,B,6,3,1,32.0
190,S&T,COR_02,B,2,4,26,21.87
191,Engineering,COR_02,B,7,3,29,34.99
192,Traction,COR_03,B,22,5,21,54.52
193,Engineering,COR_02,B,13,7,21,41.95
194,Engineering,COR_03,C,23,1,8,38.72
195,S&T,COR_01,C,29,4,23,49.12
196,Traction,COR_03,B,22,7,24,53.05
197,S&T,COR_03,C,26,7,6,43.65
198,S&T,COR_04,C,21,4,22,37.89
199,Traction,COR_03,A,28,5,18,78.35
200,Engineering,COR_03,C,6,3,6,26.65
201,Engineering,COR_01,C,20,1,5,40.87
202,Traction,COR_04,C,6,3,13,17.08
203,Engineering,COR_05,B,0,2,19,22.58
204,Traction,COR_01,C,16,3,22,28.5
205,Traction,COR_01,B,8,4,8,40.9
206,S&T,COR_05,C,29,1,9,57.2
207,Traction,COR_03,C,20,3,17,38.86
208,S&T,COR_02,C,12,1,3,29.54
209,Engineering,COR_04,C,20,1,19,39.3
210,Engineering,COR_02,C,18,2,11,28.47
211,Engineering,COR_05,A,20,2,24,74.96
212,Engineering,COR_01,B,18,4,17,51.57
213,S&T,COR_01,C,24,5,21,42.19
214,Engineering,COR_04,B,24,7,19,59.97
215,Traction,COR_01,A,21,1,2,74.43
216,Traction,COR_01,A,16,5,8,65.75
217,Traction,COR_04,B,22,7,19,57.98
218,S&T,COR_04,C,22,7,7,34.33
219,Engineering,COR_05,C,29,4,28,48.94
220,Engineering,COR_01,C,9,7,27,19.54
221,Engineering,COR_01,C,9,7,17,27.83
222,S&T,COR_05,B,3,1,6,15.62
223,Traction,COR_03,B,7,1,19,38.84
224,Traction,COR_03,C,21,6,24,46.91
225,Engineering,COR_03,A,19,5,6,70.28
226,Traction,COR_05,C,19,3,28,27.2
227,Traction,COR_01,C,17,2,2,29.88
228,S&T,COR_05,B,13,3,6,40.72
229,S&T,COR_05,C,17,5,23,30.73
230,S&T,COR_03,C,27,2,5,43.08
231,S&T,COR_02,C,13,3,19,35.98
232,Engineering,COR_01,A,19,6,20,77.08
233,S&T,COR_03,B,20,2,4,47.75
234,Traction,COR_02,C,23,1,22,35.95
235,Engineering,COR_02,B,14,3,26,44.72
236,Traction,COR_04,A,21,2,17,76.55
237,Traction,COR_01,C,29,6,11,51.32
238,Traction,COR_02,A,3,7,4,37.56
239,S&T,COR_03,C,12,2,26,31.36
240,S&T,COR_04,C,26,2,13,54.07
241,Engineering,COR_01,C,22,6,20,45.0
242,Engineering,COR_05,B,7,7,26,34.74
243,S&T,COR_03,C,17,3,17,33.34
244,Traction,COR_02,A,11,4,9,54.91
245,Engineering,COR_02,A,22,3,4,82.4
246,S&T,COR_03,C,13,7,23,27.09
247,S&T,COR_02,B,1,5,28,25.9
248,S&T,COR_04,B,17,6,14,49.07
249,Traction,COR_01,C,23,3,19,40.29
250,S&T,COR_04,A,1,2,26,33.83
251,S&T,COR_02,B,10,6,28,41.56
252,S&T,COR_05,B,8,1,3,32.19
253,S&T,COR_01,C,11,7,14,27.84
254,Engineering,COR_01,C,16,3,8,28.84
255,Engineering,COR_03,B,14,6,24,51.25
256,S&T,COR_03,B,24,3,27,58.47
257,Traction,COR_05,A,16,6,28,77.29
258,Engineering,COR_01,A,25,2,1,74.71
259,S&T,COR_05,C,28,1,10,49.53
260,Engineering,COR_03,B,25,1,18,64.49
261,Engineering,COR_03,A,17,5,16,65.95
262,Traction,COR_01,C,21,6,8,39.78
263,S&T,COR_04,C,5,3,1,20.98
264,S&T,COR_02,C,16,1,12,22.06
265,Traction,COR_03,B,22,7,8,58.02
266,Traction,COR_03,B,23,1,24,49.14
267,S&T,COR_04,B,17,4,16,44.9
268,S&T,COR_04,A,7,4,18,57.52
269,Traction,COR_05,C,8,1,4,17.24
270,Engineering,COR_05,C,5,6,6,10.95
271,Engineering,COR_02,C,4,5,12,15.03
272,Traction,COR_02,C,11,1,27,37.13
273,Engineering,COR_01,B,24,2,9,51.02
274,Traction,COR_05,C,28,3,15,43.81
275,Engineering,COR_03,B,27,5,16,71.88
276,Engineering,COR_05,C,10,2,24,34.32
277,S&T,COR_03,B,24,5,12,59.24
278,S&T,COR_04,A,0,2,24,32.11
279,Engineering,COR_05,B,10,3,23,48.56
280,Engineering,COR_04,C,18,3,14,42.05
281,S&T,COR_02,B,8,4,13,37.27
282,S&T,COR_02,A,26,6,25,85.1
283,S&T,COR_01,B,1,2,2,20.85
284,Traction,COR_05,C,11,4,3,22.94
285,Engineering,COR_04,C,3,2,26,18.54
286,S&T,COR_03,C,3,4,24,23.17
287,Engineering,COR_02,A,17,3,22,74.47
288,Traction,COR_02,C,14,5,10,24.11
289,Traction,COR_03,B,18,7,9,55.68
290,S&T,COR_04,C,12,4,26,30.48
291,Traction,COR_04,C,18,2,20,39.08
292,Engineering,COR_05,A,16,2,8,72.64
293,S&T,COR_05,A,5,7,10,39.98
294,Engineering,COR_01,A,15,6,19,65.95
295,Engineering,COR_02,B,23,3,3,54.13
296,Traction,COR_05,B,11,2,24,34.03
297,Traction,COR_04,C,18,1,5,34.9
298,Traction,COR_03,B,4,5,3,37.23
299,Traction,COR_04,B,16,4,26,41.19
300,Traction,COR_02,A,25,6,27,86.97
301,S&T,COR_04,A,22,7,16,82.13
302,Engineering,COR_01,C,25,5,17,45.38
303,Engineering,COR_02,B,28,3,15,66.14
304,Engineering,COR_03,C,0,6,3,3.18
305,Engineering,COR_01,C,27,4,12,47.65
306,Traction,COR_02,C,26,4,9,41.38
307,Engineering,COR_03,C,24,7,21,34.47
308,S&T,COR_01,B,23,1,12,63.42
309,S&T,COR_01,C,22,7,26,46.7
310,Engineering,COR_02,A,9,3,15,53.88
311,Engineering,COR_05,A,14,6,2,62.15
312,S&T,COR_01,C,22,6,23,46.68
313,S&T,COR_01,C,20,2,18,39.34
314,Traction,COR_03,C,20,1,20,42.72
315,S&T,COR_04,A,10,1,12,53.75
316,Traction,COR_02,B,12,6,23,48.27
317,Traction,COR_02,C,4,6,4,15.91
318,Traction,COR_05,B,0,5,23,24.07
319,Traction,COR_05,C,23,5,16,36.34
320,Traction,COR_02,C,11,5,23,28.49
321,Engineering,COR_05,B,10,1,16,34.28
322,S&T,COR_03,B,16,2,1,42.09
323,Traction,COR_02,B,3,4,22,24.21
324,S&T,COR_05,B,14,5,25,41.25
325,S&T,COR_02,C,24,2,2,50.29
326,Traction,COR_04,B,29,7,3,72.04
327,Engineering,COR_01,C,8,3,26,32.29
328,Traction,COR_02,A,20,5,21,70.82
329,Engineering,COR_01,C,19,7,25,38.57
330,S&T,COR_05,B,18,4,20,45.76
331,Engineering,COR_01,A,18,3,17,68.53
332,Engineering,COR_02,A,11,3,20,54.37
333,Engineering,COR_04,C,4,4,22,23.21
334,S&T,COR_05,C,9,5,21,22.42
335,S&T,COR_02,C,16,1,29,39.71
336,Engineering,COR_05,A,4,4,1,44.05
337,Engineering,COR_03,A,21,4,20,88.29
338,Traction,COR_01,C,15,4,6,22.94
339,Engineering,COR_03,B,6,3,29,39.49
340,Traction,COR_02,B,27,2,15,70.14
341,Engineering,COR_04,C,8,7,26,19.41
342,Traction,COR_05,C,2,1,26,20.21
343,S&T,COR_01,C,14,5,14,31.11
344,Engineering,COR_05,C,15,5,20,31.01
345,Engineering,COR_02,B,17,7,15,45.35
346,Engineering,COR_05,B,13,2,14,39.23
347,Engineering,COR_01,C,2,4,25,24.68
348,Traction,COR_02,C,11,1,21,26.86
349,Engineering,COR_05,A,8,5,24,56.77
350,S&T,COR_04,B,27,7,25,63.3
351,S&T,COR_02,A,6,6,26,46.26
352,Engineering,COR_02,C,8,7,5,24.82
353,S&T,COR_04,C,12,5,6,19.52
354,Engineering,COR_03,C,17,4,17,32.31
355,Engineering,COR_01,B,4,6,11,27.63
356,S&T,COR_03,C,12,2,16,27.8
357,Engineering,COR_05,C,3,1,12,13.78
358,S&T,COR_04,A,1,2,15,39.74
359,Traction,COR_03,B,15,2,23,50.32
360,Engineering,COR_02,B,8,7,4,35.91
361,Traction,COR_05,A,8,1,27,49.44
362,S&T,COR_05,C,5,1,18,17.05
363,Traction,COR_03,B,10,5,21,44.19
364,Traction,COR_03,C,21,5,28,45.44
365,S&T,COR_04,B,23,1,3,50.39
366,Traction,COR_01,A,21,6,22,79.96
367,Traction,COR_03,B,0,3,8,11.73
368,S&T,COR_03,A,3,5,23,43.53
369,Traction,COR_02,B,12,3,3,47.32
370,S&T,COR_05,C,22,7,8,35.01
371,Traction,COR_01,C,12,6,18,23.95
372,S&T,COR_02,C,12,1,10,29.63
373,S&T,COR_04,A,1,6,25,32.9
374,Traction,COR_04,A,8,5,20,49.76
375,Traction,COR_03,A,23,2,17,84.07
376,Traction,COR_03,C,7,7,8,16.38
377,Engineering,COR_04,A,6,1,23,48.15
378,Engineering,COR_03,B,3,4,11,29.19
379,Engineering,COR_01,C,17,7,29,38.17
380,S&T,COR_03,B,2,3,5,24.4
381,Traction,COR_05,A,27,6,26,89.35
382,S&T,COR_03,B,5,1,13,31.09
383,Engineering,COR_02,C,11,7,21,26.31
384,Traction,COR_01,C,11,6,23,29.25
385,S&T,COR_02,B,20,1,5,49.84
386,Traction,COR_02,A,27,5,24,89.69
387,S&T,COR_05,C,7,7,27,18.18
388,Traction,COR_01,C,21,5,13,38.63
389,Engineering,COR_01,B,21,7,6,50.22
390,Engineering,COR_01,C,0,5,29,8.64
391,Traction,COR_01,B,3,6,5,25.96
392,S&T,COR_01,C,20,4,9,37.68
393,Engineering,COR_05,C,27,7,27,52.77
394,Engineering,COR_03,B,10,7,16,36.06
395,Engineering,COR_02,C,2,5,2,13.27
396,Traction,COR_01,C,12,1,1,27.08
397,Traction,COR_03,C,24,7,8,43.88
398,S&T,COR_03,A,16,5,28,66.0
399,S&T,COR_02,A,21,2,19,78.52
400,S&T,COR_05,B,21,5,11,56.34
401,Traction,COR_04,C,9,6,28,25.46
402,Traction,COR_04,B,20,4,12,44.01
403,S&T,COR_03,C,11,2,12,25.97
404,S&T,COR_02,C,14,6,7,38.22
405,Traction,COR_04,A,20,6,26,75.55
406,S&T,COR_03,C,9,6,13,19.52
407,Engineering,COR_05,A,13,1,27,65.28
408,Traction,COR_04,C,12,6,8,27.27
409,S&T,COR_03,B,4,1,29,35.99
410,Traction,COR_03,A,5,6,29,42.71
411,Engineering,COR_01,B,23,3,22,63.13
412,Traction,COR_05,B,1,2,28,28.33
413,Traction,COR_01,C,21,3,26,40.47
414,Traction,COR_02,C,16,6,9,32.9
415,Traction,COR_01,C,3,2,7,18.27
416,Engineering,COR_01,A,13,2,26,67.32
417,Traction,COR_04,A,9,7,21,49.63
418,Traction,COR_03,A,2,4,24,45.19
419,S&T,COR_05,C,24,3,15,42.86
420,Traction,COR_01,C,2,4,2,11.78
421,S&T,COR_05,B,14,2,23,45.96
422,Engineering,COR_01,A,5,1,20,46.04
423,Engineering,COR_02,C,16,2,25,39.55
424,Engineering,COR_01,C,11,4,12,24.88
425,Engineering,COR_04,C,21,3,1,31.67
426,S&T,COR_03,C,19,6,23,36.14
427,Traction,COR_02,B,23,7,22,60.68
428,Engineering,COR_01,A,28,7,8,95.08
429,Traction,COR_05,C,10,7,5,25.36
430,S&T,COR_02,C,24,6,15,39.36
431,S&T,COR_02,B,3,7,1,35.16
432,S&T,COR_01,C,25,3,1,43.17
433,Engineering,COR_02,C,27,6,25,54.61
434,Traction,COR_05,C,25,7,10,42.92
435,Traction,COR_02,C,5,6,22,21.4
436,Traction,COR_05,B,0,4,10,24.63
437,S&T,COR_01,C,19,3,21,42.96
438,Engineering,COR_03,C,22,5,15,45.18
439,S&T,COR_02,C,27,1,17,51.39
440,S&T,COR_03,C,15,7,22,30.97
441,Traction,COR_05,C,14,1,6,25.65
442,S&T,COR_02,A,16,6,3,66.7
443,Traction,COR_04,C,7,1,13,24.25
444,Engineering,COR_03,C,27,3,16,46.34
445,Traction,COR_02,C,25,3,8,47.98
446,Engineering,COR_03,C,11,2,15,32.25
447,Traction,COR_02,C,26,7,17,42.09
448,S&T,COR_01,B,21,2,17,52.06
449,S&T,COR_03,C,20,1,22,38.43
450,Engineering,COR_04,A,9,5,26,56.98
451,Engineering,COR_04,B,26,2,13,60.75
452,Engineering,COR_05,C,14,2,17,36.17
453,Traction,COR_02,C,29,3,6,50.11
454,Traction,COR_03,B,8,5,17,35.13
455,Engineering,COR_05,A,1,6,16,31.77
456,S&T,COR_03,C,4,1,14,10.41
457,Traction,COR_02,A,5,2,13,46.71
458,Traction,COR_04,A,6,5,6,36.68
459,Traction,COR_01,A,20,7,3,77.56
460,Engineering,COR_04,A,24,5,14,82.14
461,Engineering,COR_05,A,0,1,14,50.28
462,Engineering,COR_01,B,22,5,15,67.3
463,Engineering,COR_05,B,25,5,8,59.78
464,Engineering,COR_02,C,6,5,29,21.13
465,S&T,COR_01,C,19,7,15,40.9
466,S&T,COR_05,C,24,2,22,51.97
467,Engineering,COR_02,A,29,1,29,88.02
468,Traction,COR_04,B,11,7,27,33.59
469,Engineering,COR_02,C,15,5,13,28.01
470,S&T,COR_03,A,15,5,17,68.35
471,S&T,COR_02,B,10,2,21,41.08
472,Traction,COR_02,C,20,1,24,44.17
473,S&T,COR_03,C,3,3,3,7.63
474,Engineering,COR_05,A,12,7,28,51.53
475,Traction,COR_05,B,6,2,6,33.61
476,Engineering,COR_02,C,3,1,5,9.64
477,Engineering,COR_03,A,14,7,22,55.7
478,Traction,COR_03,C,18,5,26,37.74
479,Engineering,COR_04,C,8,1,17,25.67
480,S&T,COR_05,C,10,1,23,25.33
481,Engineering,COR_01,B,7,6,25,32.74
482,Traction,COR_05,C,0,1,2,8.08
483,Traction,COR_05,C,22,3,26,40.78
484,Traction,COR_04,B,24,1,15,54.24
485,Engineering,COR_01,A,23,3,5,76.1
486,Traction,COR_04,C,7,5,26,24.73
487,Traction,COR_01,B,12,3,20,43.33
488,Engineering,COR_02,B,21,7,6,54.58
489,S&T,COR_01,A,26,5,6,80.91
490,Engineering,COR_04,C,3,5,27,16.44
491,Traction,COR_05,C,7,3,18,11.29
492,Traction,COR_01,C,2,2,18,15.1
493,Engineering,COR_01,B,28,4,4,71.05
494,S&T,COR_03,A,8,1,17,45.49
495,Traction,COR_05,C,28,6,25,47.66
496,Traction,COR_02,B,1,4,14,24.67
497,Traction,COR_04,A,1,1,14,43.38
498,Engineering,COR_02,C,27,1,13,44.8
499,Traction,COR_05,C,12,5,7,22.62
500,S&T,COR_01,C,14,1,12,20.5
501,Traction,COR_01,C,27,6,23,49.04
502,Traction,COR_05,C,22,1,15,49.56
503,S&T,COR_01,B,11,3,19,41.35
504,Traction,COR_01,C,25,4,11,43.67
505,Engineering,COR_01,C,3,3,15,16.54
506,Engineering,COR_04,A,25,6,12,84.4
507,Engineering,COR_04,C,7,1,3,14.69
508,S&T,COR_03,C,8,7,17,25.8
509,Traction,COR_02,C,22,6,3,39.34
510,Engineering,COR_05,C,4,5,19,17.23
511,S&T,COR_05,C,23,3,20,38.36
512,Traction,COR_05,C,19,3,4,40.31
513,S&T,COR_03,A,17,2,3,70.14
514,Engineering,COR_04,C,10,1,26,23.95
515,Engineering,COR_03,B,14,5,16,48.85
516,Engineering,COR_05,B,27,7,12,62.29
517,S&T,COR_02,B,21,3,8,50.7
518,S&T,COR_01,B,8,3,24,32.82
519,Engineering,COR_04,B,16,5,29,42.03
520,S&T,COR_04,C,26,6,29,50.41
521,Engineering,COR_03,C,25,6,17,36.69
522,Engineering,COR_04,C,11,1,7,18.9
523,Traction,COR_05,A,6,2,11,37.82
524,S&T,COR_05,C,9,3,18,23.27
525,Engineering,COR_03,C,24,2,1,39.98
526,Engineering,COR_05,C,25,6,3,40.89
527,S&T,COR_02,A,24,6,4,76.42
528,Traction,COR_03,A,9,4,13,48.08
529,Traction,COR_02,B,26,7,6,63.9
530,Engineering,COR_01,A,12,1,26,59.03
531,S&T,COR_02,B,18,4,14,51.85
532,Traction,COR_01,C,10,7,5,18.73
533,S&T,COR_01,B,12,4,16,41.99
534,S&T,COR_02,A,20,4,15,80.99
535,Engineering,COR_03,B,7,1,15,35.61
536,Traction,COR_05,A,7,1,4,45.94
537,Engineering,COR_05,A,3,5,8,41.8
538,Traction,COR_01,B,14,2,27,45.28
539,Traction,COR_01,B,27,2,16,65.26
540,Traction,COR_03,C,10,5,28,25.32
541,Traction,COR_04,C,10,5,16,23.9
542,Traction,COR_02,B,0,6,4,20.77
543,S&T,COR_01,B,16,7,13,42.64
544,Engineering,COR_05,C,14,4,26,27.23
545,S&T,COR_03,B,19,5,28,48.36
546,Traction,COR_02,A,5,3,13,38.34
547,Engineering,COR_03,C,23,2,2,34.08
548,Traction,COR_02,A,21,5,3,75.72
549,Engineering,COR_02,C,27,3,22,44.42
550,S&T,COR_01,C,24,3,8,44.19
551,Engineering,COR_03,B,14,3,24,45.97
552,Engineering,COR_03,B,8,6,15,25.84
553,Engineering,COR_05,C,13,6,11,30.66
554,Engineering,COR_05,A,17,3,9,71.86
555,Engineering,COR_01,B,25,7,7,55.99
556,Traction,COR_01,C,16,6,13,33.98
557,Engineering,COR_04,C,17,4,2,27.67
558,Engineering,COR_05,A,4,3,8,43.05
559,S&T,COR_02,C,19,4,7,29.42
560,Engineering,COR_03,B,19,4,24,45.85
561,S&T,COR_01,C,8,3,12,19.55
562,Traction,COR_03,C,10,2,19,24.62
563,Engineering,COR_03,C,23,7,7,38.62
564,S&T,COR_04,B,21,3,10,49.27
565,S&T,COR_05,C,0,3,29,11.81
566,Traction,COR_01,A,17,6,25,72.29
567,Engineering,COR_03,C,5,3,16,17.76
568,Engineering,COR_01,A,26,2,3,85.61
569,S&T,COR_02,B,1,6,10,19.51
570,Engineering,COR_04,B,14,1,6,47.83
571,S&T,COR_02,C,28,1,18,43.79
572,Engineering,COR_01,C,25,4,18,47.18
573,S&T,COR_01,A,20,7,5,78.67
574,Engineering,COR_05,A,13,4,21,64.69
575,Traction,COR_03,C,4,2,29,18.03
576,Engineering,COR_03,B,5,5,7,26.02
577,Engineering,COR_02,A,5,7,28,52.74
578,Traction,COR_04,C,29,1,2,41.17
579,Engineering,COR_03,C,21,4,11,34.11
580,Traction,COR_05,C,29,1,13,47.7
581,Engineering,COR_02,B,17,2,23,55.95
582,S&T,COR_02,B,13,2,5,42.52
583,S&T,COR_05,C,9,5,6,17.21
584,Engineering,COR_04,C,13,5,24,28.68
585,Engineering,COR_05,C,12,6,26,26.35
586,Engineering,COR_04,C,29,7,29,49.16
587,S&T,COR_05,B,2,2,14,29.17
588,Engineering,COR_05,C,29,4,12,43.18
589,S&T,COR_01,B,5,1,4,35.0
590,Traction,COR_02,A,28,3,29,97.03
591,S&T,COR_05,C,7,5,23,26.73
592,S&T,COR_05,B,11,3,6,35.74
593,Traction,COR_03,A,12,4,10,57.97
594,S&T,COR_02,C,10,5,18,18.61
595,Engineering,COR_03,B,11,3,15,37.07
